timestamp_utc,session_id,source_id,clue,answer_raw,answer_norm,answer_len,clue_len,filled_indices,filled_pairs,shown_pattern,user_guess_raw,user_guess_norm,user_correct,revealed,num_remaining_correct
2025-11-05T22:56:51Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,9/8/2021_ERIC,"""Spamalot"" writer Idle",ERIC,ERIC,4,22,"[1, 3]","[[1, ""R""], [3, ""C""]]",_R_C,eric,ERIC,1,0,2
2025-11-05T22:56:56Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,4/27/2021_SUGARDADDY,"Wealthy boyfriend, perhaps",SUGARDADDY,SUGARDADDY,10,26,"[1, 5, 6, 8]","[[1, ""U""], [5, ""D""], [6, ""A""], [8, ""D""]]",_U___DA_D_,sugardaddy,SUGARDADDY,1,0,6
2025-11-05T22:57:27Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,5/30/2019_TAX,Duty,TAX,TAX,3,4,[1],"[[1, ""A""]]",_A_,,,0,0,0
2025-11-05T22:57:38Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,3/22/2016_ETO,D.D.E.'s charge in W.W. II,ETO,ETO,3,26,"[0, 2]","[[0, ""E""], [2, ""O""]]",E_O,evo,EVO,0,0,0
2025-11-05T22:57:48Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,6/16/2019_NOMEN,"The ""Tullius"" of Marcus Tullius Cicero",NOMEN,NOMEN,5,38,[0],"[[0, ""N""]]",N____,,,0,0,0
2025-11-05T22:58:01Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,2/3/2018_HALLPASS,Toilet paper?,HALLPASS,HALLPASS,8,13,[],[],________,,,0,0,0
2025-11-05T22:58:05Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,3/20/2019_DONHO,"""Tiny Bubbles"" crooner",DONHO,DONHO,5,22,[],[],_____,,,0,0,0
2025-11-05T22:58:09Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,5/21/2018_JEAN,Levi's material,JEAN,JEAN,4,15,"[1, 2]","[[1, ""E""], [2, ""A""]]",_EA_,jean,JEAN,1,0,2
2025-11-05T22:58:13Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,10/4/2018_ACLU,Org. defending 1-Across rights,ACLU,ACLU,4,30,[2],"[[2, ""L""]]",__L_,aclu,ACLU,1,0,3
2025-11-05T22:58:55Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,12/14/2019_HITAT,Try to punch,HITAT,HITAT,5,12,[4],"[[4, ""T""]]",____T,quit,QUIT,0,0,0
2025-11-05T23:00:08Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,3/21/2021_NBA,Hoops grp.,NBA,NBA,3,10,[1],"[[1, ""B""]]",_B_,nba,NBA,1,0,2
2025-11-05T23:00:10Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,9/9/2020_EMU,Bird able to run faster than the fastest human,EMU,EMU,3,46,[1],"[[1, ""M""]]",_M_,emu,EMU,1,0,2
2025-11-05T23:00:12Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,6/6/2019_RIO,Feature on a Spanish map,RIO,RIO,3,24,[1],"[[1, ""I""]]",_I_,rio,RIO,1,0,2
2025-11-05T23:00:14Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,12/20/2018_SANS,Comic ___ (typeface),SANS,SANS,4,20,"[0, 1, 2]","[[0, ""S""], [1, ""A""], [2, ""N""]]",SAN_,sans,SANS,1,0,1
2025-11-05T23:00:21Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,5/8/2021_WHO,It becomes another question when its first letter is moved to the end,WHO,WHO,3,69,[1],"[[1, ""H""]]",_H_,who,WHO,1,0,2
2025-11-05T23:00:25Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,9/13/2019_TIRADE,"Tweetstorm, e.g.",TIRADE,TIRADE,6,16,[],[],______,tirade,TIRADE,1,0,6
2025-11-05T23:00:27Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,9/17/2018_TUNE,"Adjust, as a piano",TUNE,TUNE,4,18,[],[],____,tune,TUNE,1,0,4
2025-11-05T23:00:31Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,9/27/2021_INES,Mexican poet Juana ___ de la Cruz,INES,INES,4,33,"[1, 2]","[[1, ""N""], [2, ""E""]]",_NE_,inez,INEZ,0,0,1
2025-11-05T23:00:45Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,5/3/2019_ETTORE,"Automaker Bugatti who reportedly said ""I make my cars to go, not to stop""",ETTORE,ETTORE,6,73,"[1, 2, 3, 4, 5]","[[1, ""T""], [2, ""T""], [3, ""O""], [4, ""R""], [5, ""E""]]",_TTORE,attore,ATTORE,0,0,0
2025-11-05T23:00:47Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,2/18/2020_STAN,Lee of Marvel Comics,STAN,STAN,4,20,"[1, 2, 3]","[[1, ""T""], [2, ""A""], [3, ""N""]]",_TAN,stan,STAN,1,0,1
2025-11-05T23:05:02Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,11/23/2016_ORELSE,Ultimatum ending,ORELSE,ORELSE,6,16,[5],"[[5, ""E""]]",_____E,orelse,ORELSE,1,0,0,5
2025-11-05T23:05:13Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,8/23/2021_ACHE,What aspirin helps alleviate,ACHE,ACHE,4,28,[0],"[[0, ""A""]]",A___,ache,ACHE,1,0,0,3
2025-11-05T23:05:16Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,5/28/2017_DEER,Ovine : sheep :: cervine : ___,DEER,DEER,4,30,"[0, 1, 3]","[[0, ""D""], [1, ""E""], [3, ""R""]]",DE_R,deer,DEER,1,0,0,1
2025-11-05T23:05:19Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,7/9/2019_TASES,"Shocks, in a way",TASES,TASES,5,16,"[0, 2, 3]","[[0, ""T""], [2, ""S""], [3, ""E""]]",T_SE_,tases,TASES,1,0,0,2
2025-11-05T23:05:23Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,1/4/2018_ACR,Height: Prefix,ACR,ACR,3,14,[1],"[[1, ""C""]]",_C_,,,0,0,0,0
2025-11-05T23:05:29Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/22/2019_ALIMONY,Ex amount,ALIMONY,ALIMONY,7,9,"[0, 3, 4]","[[0, ""A""], [3, ""M""], [4, ""O""]]",A__MO__,alimony,ALIMONY,1,0,0,4
2025-11-05T23:05:32Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,10/20/2016_RIO,Kia subcompact,RIO,RIO,3,14,[0],"[[0, ""R""]]",R__,rio,RIO,1,0,0,2
2025-11-05T23:05:39Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,4/8/2019_DIVERSE,Heterogeneous,DIVERSE,DIVERSE,7,13,[4],"[[4, ""R""]]",____R__,,,0,0,0,0
2025-11-05T23:05:44Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,6/2/2019_ELROY,Youngest Jetson,ELROY,ELROY,5,15,[2],"[[2, ""R""]]",__R__,,,0,0,0,0
2025-11-05T23:05:50Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,7/6/2021_MAXINE,Congresswoman Waters,MAXINE,MAXINE,6,20,"[0, 1, 2, 5]","[[0, ""M""], [1, ""A""], [2, ""X""], [5, ""E""]]",MAX__E,maxine,MAXINE,1,0,0,2
2025-11-05T23:05:55Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,9/9/2020_SPEX,"Glasses, in adspeak",SPEX,SPEX,4,19,[],[],____,spex,SPEX,1,0,0,4
2025-11-05T23:06:05Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,12/15/2018_BEERCOOLER,Tailgaters' tote,BEERCOOLER,BEERCOOLER,10,16,"[3, 5, 8]","[[3, ""R""], [5, ""O""], [8, ""E""]]",___R_O__E_,beercooler,BEERCOOLER,1,0,0,7
2025-11-05T23:06:07Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,12/16/2018_BCC,Emailing option,BCC,BCC,3,15,"[1, 2]","[[1, ""C""], [2, ""C""]]",_CC,bcc,BCC,1,0,0,1
2025-11-05T23:06:14Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,4/26/2018_NAW,Backwoods turndown,NAW,NAW,3,18,[],[],___,naw,NAW,1,0,0,3
2025-11-05T23:06:19Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,7/24/2021_ENTER,"Try one's luck in, say",ENTER,ENTER,5,22,"[0, 1, 4]","[[0, ""E""], [1, ""N""], [4, ""R""]]",EN__R,enter,ENTER,1,0,0,2
2025-11-05T23:06:21Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,8/19/2018_TOWER,Jenga construction,TOWER,TOWER,5,18,[4],"[[4, ""R""]]",____R,tower,TOWER,1,0,0,4
2025-11-05T23:06:26Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,7/17/2020_GERITOL,Vitamin supplement brand,GERITOL,GERITOL,7,24,[],[],_______,,,0,0,0,0
2025-11-05T23:06:30Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,5/17/2020_SAPID,Flavorful,SAPID,SAPID,5,9,[],[],_____,tasty,TASTY,0,0,0,1
2025-11-05T23:06:43Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,8/18/2016_BLINDALLEYS,Many investigators' leads,BLINDALLEYS,BLINDALLEYS,11,25,"[5, 6, 7, 9]","[[5, ""A""], [6, ""L""], [7, ""L""], [9, ""Y""]]",_____ALL_Y_,,,0,0,0,0
2025-11-05T23:06:50Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/28/2021_SARONG,Bit of luau wear,SARONG,SARONG,6,16,"[3, 4, 5]","[[3, ""O""], [4, ""N""], [5, ""G""]]",___ONG,sarong,SARONG,1,0,0,3
2025-11-05T23:07:06Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,11/6/2017_NEURONS,Those getting excited when thinking?,NEURONS,NEURONS,7,36,"[0, 2, 3, 5, 6]","[[0, ""N""], [2, ""U""], [3, ""R""], [5, ""N""], [6, ""S""]]",N_UR_NS,,,0,0,0,0
2025-11-05T23:07:09Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,2/23/2018_SADIE,Title woman of a Beatles song,SADIE,SADIE,5,29,"[0, 1, 3, 4]","[[0, ""S""], [1, ""A""], [3, ""I""], [4, ""E""]]",SA_IE,sadie,SADIE,1,0,0,1
2025-11-05T23:07:20Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/31/2020_MENSCH,Good-hearted sort,MENSCH,MENSCH,6,17,"[0, 1, 2, 3]","[[0, ""M""], [1, ""E""], [2, ""N""], [3, ""S""]]",MENS__,,,0,0,0,0
2025-11-05T23:07:25Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,4/16/2017_REP,Part of a set,REP,REP,3,13,[0],"[[0, ""R""]]",R__,run,RUN,0,0,0,0
2025-11-05T23:07:33Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,8/17/2016_LICE,Big nits,LICE,LICE,4,8,"[1, 2, 3]","[[1, ""I""], [2, ""C""], [3, ""E""]]",_ICE,,,0,0,0,0
2025-11-05T23:07:43Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/13/2016_EASEL,Backing at a business meeting?,EASEL,EASEL,5,30,"[0, 1, 2, 3]","[[0, ""E""], [1, ""A""], [2, ""S""], [3, ""E""]]",EASE_,easel,EASEL,1,0,0,1
2025-11-05T23:07:46Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/3/2018_AFTA,Men's grooming brand,AFTA,AFTA,4,20,"[0, 1, 3]","[[0, ""A""], [1, ""F""], [3, ""A""]]",AF_A,afta,AFTA,1,0,0,1
2025-11-05T23:07:53Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,1/13/2016_TIER,Grand ___ (opera house section),TIER,TIER,4,31,[],[],____,opry,OPRY,0,0,0,0
2025-11-05T23:08:00Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,12/23/2018_TRIBAL,Like powwows,TRIBAL,TRIBAL,6,12,[],[],______,indian,INDIAN,0,0,0,1
2025-11-05T23:08:12Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,2/17/2021_PEPSI,Option in a classic taste test,PEPSI,PEPSI,5,30,"[0, 4]","[[0, ""P""], [4, ""I""]]",P___I,,,0,0,0,0
2025-11-05T23:08:16Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/29/2021_ASIS,Buyer's warning,ASIS,ASIS,4,15,[],[],____,,,0,0,0,0
2025-11-05T23:08:21Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,4/18/2020_APTEST,"Source of college credit, informally",APTEST,APTEST,6,36,"[1, 2, 3]","[[1, ""P""], [2, ""T""], [3, ""E""]]",_PTE__,aptest,APTEST,1,0,0,3
2025-11-05T23:08:25Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,11/19/2020_FAN,Geisha's accessory,FAN,FAN,3,18,[],[],___,obi,OBI,0,0,0,0
2025-11-05T23:08:37Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,1/28/2019_DENTAL,Insurance type that often accompanies medical,DENTAL,DENTAL,6,45,"[1, 2, 4]","[[1, ""E""], [2, ""N""], [4, ""A""]]",_EN_A_,dental,DENTAL,1,0,0,3
2025-11-05T23:08:49Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,5/26/2016_SLOMO,"Feature of many an action film, paradoxically",SLOMO,SLOMO,5,45,"[0, 1]","[[0, ""S""], [1, ""L""]]",SL___,,,0,0,0,0
2025-11-05T23:09:04Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,4/30/2021_NOISEMAKER,New Year's Eve handout,NOISEMAKER,NOISEMAKER,10,22,[],[],__________,,,0,0,0,0
2025-11-05T23:09:13Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,9/3/2020_EVE,Before time,EVE,EVE,3,11,[2],"[[2, ""E""]]",__E,,,0,0,0,0
2025-11-05T23:09:17Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,10/9/2016_AGS,D.O.J. figures,AGS,AGS,3,14,"[0, 1]","[[0, ""A""], [1, ""G""]]",AG_,ags,AGS,1,0,0,1
2025-11-05T23:09:23Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,5/1/2017_SPITEFUL,Malicious,SPITEFUL,SPITEFUL,8,9,[1],"[[1, ""P""]]",_P______,spiteful,SPITEFUL,1,0,0,7
2025-11-05T23:09:25Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,7/10/2016_IRIS,"""Bearded"" flower",IRIS,IRIS,4,16,"[0, 1, 2]","[[0, ""I""], [1, ""R""], [2, ""I""]]",IRI_,iris,IRIS,1,0,0,1
2025-11-05T23:09:30Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,5/22/2019_OVENS,Pizzeria fixtures,OVENS,OVENS,5,17,[],[],_____,ovens,OVENS,1,0,0,5
2025-11-05T23:09:47Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,12/21/2016_THESEUS,Ariadne helped him navigate the Labyrinth,THESEUS,THESEUS,7,41,"[1, 2, 3, 5]","[[1, ""H""], [2, ""E""], [3, ""S""], [5, ""U""]]",_HES_U_,,,0,0,0,0
2025-11-05T23:09:51Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,7/5/2019_TOYS,Messes around (with),TOYS,TOYS,4,20,"[1, 2]","[[1, ""O""], [2, ""Y""]]",_OY_,toys,TOYS,1,0,0,2
2025-11-05T23:09:59Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,1/14/2016_PERSPIRE,"Make beads, say",PERSPIRE,PERSPIRE,8,15,"[0, 2, 4, 5, 6, 7]","[[0, ""P""], [2, ""R""], [4, ""P""], [5, ""I""], [6, ""R""], [7, ""E""]]",P_R_PIRE,perspire,PERSPIRE,1,0,0,2
2025-11-05T23:10:11Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,6/26/2021_MEG,"File size unit, informally",MEG,MEG,3,26,[],[],___,gig,GIG,0,0,0,1
2025-11-05T23:10:15Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/16/2016_VOL,"Tennessee athlete, informally",VOL,VOL,3,29,"[0, 2]","[[0, ""V""], [2, ""L""]]",V_L,vol,VOL,1,0,0,1
2025-11-05T23:10:16Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,4/5/2016_EYE,Look over,EYE,EYE,3,9,"[0, 1]","[[0, ""E""], [1, ""Y""]]",EY_,eye,EYE,1,0,0,1
2025-11-05T23:10:19Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,1/5/2018_MAHRE,1980s skiing champ Phil,MAHRE,MAHRE,5,23,"[1, 3, 4]","[[1, ""A""], [3, ""R""], [4, ""E""]]",_A_RE,,,0,0,0,0
2025-11-05T23:10:29Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,7/22/2020_MON,Part of many a three-day weekend: Abbr.,MON,MON,3,39,[],[],___,mon,MON,1,0,0,3
2025-11-05T23:10:32Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,11/19/2019_SOPH,"10th grader, informally",SOPH,SOPH,4,23,[0],"[[0, ""S""]]",S___,soph,SOPH,1,0,0,3
